,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens
0,Fe,1,425.07866,5e-05,425.07864,3e-05,214000
1,V,1,425.2834,0.0003,425.28340,9e-05,95000
2,Fe,1,425.01192,5e-05,425.01188,3e-05,71000
3,V,1,424.6713,0.0002,424.67116,7e-05,50000
4,V,1,425.4424,0.0004,425.44288,5e-05,20000
5,V,1,424.807,0.0003,424.80702,0.00011,16000
6,Fe,1,424.74253,5e-05,424.74250,3e-05,15800
7,V,1,425.5555,0.0003,425.55546,0.00011,14000
8,Th,1,425.031448,3e-06,425.0314489,2.3e-06,13000
9,V,1,425.1242,0.0003,425.12441,0.0002,11000
10,V,1,425.2743,0.0003,425.27424,5e-05,6500
11,V,1,424.6348,0.0004,424.63490,7e-05,5200
12,Fe,1,424.82238,5e-05,424.82237,3e-05,2820
13,Cr,1,425.43517,0.0006,425.433602,2.2e-05,2480
14,Th,1,425.353841,1.1e-05,425.353846,8e-06,1900
15,Fe,1,424.73058,5e-05,424.73054,4e-05,1450
16,Ho,1,425.443,0.01,425.438+,0.003,1300
17,Fe,1,424.60847,5e-05,424.60841,4e-05,1260
18,Fe,1,424.53441,5e-05,424.53440,3e-05,1170
19,Fe,1,425.55001,0.00014,425.55004,3e-05,890
20,Th,1,424.839079,1.4e-05,424.839077,3e-06,870
21,Th,1,425.523723,1.4e-05,425.5236555,2.4e-06,800
22,Sr,1,425.2939,0.0005,425.2939,0.0005,700
23,Fe,1,425.4945,0.00014,425.49447,4e-05,690
24,Th,1,425.579714,1.6e-05,425.579711,5e-06,660
25,Th,1,425.07749,1.6e-05,425.077476,4e-06,640
26,Dy,1,424.591,0.01,424.5915+,0.0018,440
27,Fe,1,425.08915,0.00014,425.08921,3e-05,398
28,Tb,1,425.524,0.01,,,370
29,Ru,1,424.673,0.01,424.674+,0.003,370
30,Pt,1,425.1171,0.002,425.1147,0.0005,360
31,Fe,1,424.84023,0.00014,424.84021,3e-05,316
32,Y,1,425.1201,0.001,425.11994,6e-05,300
33,Ac,1,424.633,0.0013,,,270
34,Th,1,424.785933,2.2e-05,424.785928,1.1e-05,270
35,Nb,1,425.544,0.01,,,250
36,Th,1,424.94761,2.2e-05,424.947621,9e-06,250
37,Fe,1,424.60125,0.00014,424.60126,4e-05,240
38,Th,1,424.851858,2.3e-05,424.851845,3e-06,220
39,Pt,1,424.76735,0.00018,424.76740,7e-05,220
40,Fe,1,425.0191,0.0004,425.01880,3e-05,219
41,Th,1,425.128745,2.4e-05,425.128740,3e-06,210
42,Hf,1,425.151,0.0011,425.15102,0.00018,210
43,Fe,1,425.393,0.0003,425.39297,4e-05,191
44,Th,1,425.57518,3e-05,425.575210,1.3e-05,190
45,Mo,1,424.6018,0.001,424.6018+,0.0003,190
46,Th,1,424.55576,3e-05,424.555759,8e-06,190
47,Cr,1,425.54995,4e-05,425.54994,3e-05,170
48,Cu,1,424.8956,0.0009,424.8956,0.0005,150
49,Fe,1,424.9579,0.0003,424.95833,3e-05,145
50,Mo,1,425.4951,0.001,425.4952+,0.0003,140
51,Hf,1,424.8005,0.0005,424.79957,0.00011,140
52,Ac,1,424.678,0.0013,,,140
53,Th,1,425.57647,3e-05,425.576649,2.2e-05,130
54,Ta,1,424.535,0.001,424.534+,0.003,130
55,Th,1,425.43779,3e-05,425.437801,6e-06,110
56,Th,1,424.54462,3e-05,424.544601,8e-06,99
