,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens
57,Fe,1,425.1497,0.0004,425.14979,6e-05,89
58,Th,1,425.08386,3e-05,425.083920,6e-06,85
59,Mo,1,425.1883,0.001,425.1883+,0.0003,80
60,Th,1,424.63221,3e-05,424.632168,1.1e-05,80
61,Tm,1,425.2191,0.0005,425.2190+,0.0003,70
62,Hf,1,424.62,0.001,424.62072,0.00014,70
63,Cr,1,424.849,,424.8492,0.0018,68
64,Ti,1,424.9112,0.0002,424.91107,5e-05,68
65,Th,1,425.1078,4e-05,425.107779,4e-06,65
66,Th,1,424.7351,4e-05,424.735165,9e-06,63
67,Th,1,424.7351,4e-05,424.73517,5e-05,63
68,Th,1,424.72886,4e-05,424.728866,9e-06,61
69,Th,1,424.77771,0.00018,424.777548,2.2e-05,55
70,Th,1,425.1422,4e-05,425.142202,9e-06,52
71,Th,1,425.33893,4e-05,425.338921,1.3e-05,50
72,Fe,1,425.1641,0.0003,425.16442,4e-05,50
73,Ti,1,425.1602,0.0002,425.16030,7e-05,49
74,Th,1,424.67937,4e-05,424.679370,8e-06,43
75,Pt,1,424.599,0.002,424.59945,0.00016,34
76,Ti,1,425.1756,0.0005,425.17501,5e-05,32
77,Th,1,425.33585,5e-05,425.335850,1.6e-05,30
78,Th,1,424.76865,5e-05,424.768609,8e-06,28
79,Cr,1,425.498,,425.49879,3e-05,25
80,Ar,1,425.1185,0.001,425.1185,0.001,25
81,Th,1,424.81805,5e-05,424.818045,6e-06,24
82,Th,1,424.82719,5e-05,424.827163,1.8e-05,23
83,Mo,1,425.1834,0.001,425.1834+,0.0003,22
84,Ti,1,424.5506,0.0002,424.55049,0.00014,21
85,Cu,1,425.339,0.0021,425.3370,0.0022,20
86,Th,1,425.53812,5e-05,425.538094,1.5e-05,20
87,Ne,1,425.2775,0.002,425.2775,0.002,20
88,Ne,1,425.2418,0.002,425.2419,0.002,20
89,W,1,424.9452,0.001,424.9456,0.0014,20
90,Ne,1,424.9538,0.002,424.9547,0.0011,20
91,Ti,1,425.0572,0.0002,425.05701,5e-05,17
92,Th,1,425.37471,7e-05,425.374690,1.8e-05,17
93,Th,1,425.46398,0.0002,425.463952,1.3e-05,17
94,Na,1,425.38,0.02,425.376,0.013,17
95,Th,1,424.68173,7e-05,424.681752,8e-06,16
96,W,1,425.4284,0.001,425.4286,0.0014,15
97,W,1,425.4052,0.001,425.4055,0.0014,12
98,Th,1,425.15196,0.00022,425.152717,1.5e-05,12
99,Cr,1,424.86998,0.0001,424.86992,4e-05,12
