,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens
0,V,1,428.40426,0.00018,428.40428,4e-05,1700000
1,V,1,428.6409,0.0002,428.64094,6e-05,200000
2,V,1,428.2898,0.0002,428.28981,9e-05,180000
3,V,1,428.7795,0.0002,428.77951,3e-05,150000
4,Fe,1,428.24026,6e-05,428.24026,3e-05,89000
5,V,1,428.3845,0.0004,428.38442,4e-05,38000
6,V,1,427.9528,0.0004,427.95277,0.00011,16000
7,Pu,1,428.117,0.01,,,10000
8,Fe,1,428.54417,6e-05,428.54415,4e-05,4170
9,Th,1,427.832319,9e-06,427.832318,8e-06,2400
10,Ti,1,428.7403,0.0002,428.74027,7e-05,2200
11,Ti,1,428.6004,0.0002,428.60040,7e-05,2200
12,Th,1,428.0568,1.1e-05,428.056794,4e-06,1700
13,Hf,1,428.726,0.0011,428.72536,0.00022,1500
14,Th,1,428.208889,1.3e-05,428.208887,3e-06,1200
15,Mo,1,427.7239,0.001,427.7239+,0.0003,1200
16,Tc,1,427.8895,0.001,427.8878,0.001,800
17,Th,1,428.310477,1.5e-05,428.310487,9e-06,790
18,Th,1,428.622841,1.5e-05,428.622841,4e-06,770
19,Ru,1,428.433,0.01,428.433+,0.003,760
20,Sm,1,428.221,0.01,,,710
21,Er,1,428.656,0.01,,,690
22,Fe,1,428.69834,0.00015,428.69829,3e-05,590
23,Fe,1,427.82311,0.00015,427.82300,3e-05,580
24,Zr,1,428.22,0.01,,,550
25,Fe,1,428.4405,0.0004,428.44080,4e-05,540
26,Fe,1,428.4405,0.0004,428.44051,3e-05,540
27,Ba,1,428.30973,0.0001,428.3097+,0.0003,530
28,Fe,1,428.6434,0.00015,428.64319,3e-05,520
29,Ti,1,428.2699,0.0002,428.26981,7e-05,510
30,Sm,1,428.283,0.01,,,470
31,Th,1,428.708079,1.8e-05,428.708087,1.1e-05,460
32,Fe,1,428.0539,0.0004,428.05350,3e-05,437
33,Gd,1,428.582,0.01,,,430
34,Nb,1,428.699,0.01,,,400
35,Fe,1,427.9488,0.0003,427.94878,3e-05,398
36,Hf,1,428.0021,0.0013,428.00068,0.0002,370
37,Hf,1,428.0021,0.0013,428.00040,0.00015,370
38,Ti,1,428.4981,0.0002,428.49800,0.00011,330
39,Fe,1,428.5822,0.0003,428.58234,3e-05,324
40,Fe,1,428.6864,0.0003,428.68631,3e-05,316
41,Gd,1,428.612,0.01,,,300
42,La,1,428.027,0.01,428.0256+,0.0018,300
43,Pm,1,428.437,0.01,,,300
44,Ti,1,428.1364,0.0002,428.13674,9e-05,280
45,Th,1,428.187614,2.2e-05,428.187596,8e-06,270
46,Mn,1,428.11,0.01,428.1097,0.001,270
47,Lu,1,428.103,0.01,428.102+,0.003,250
48,Sm,1,428.35,0.01,,,240
49,Fe,1,428.7938,0.0004,428.79396,4e-05,229
50,Th,1,428.307203,2.4e-05,428.307213,1.3e-05,220
51,Cr,1,428.04034,4e-05,428.04033,4e-05,180
52,Th,1,428.79534,3e-05,428.795332,1.3e-05,170
53,Th,1,427.90627,3e-05,427.906291,1.1e-05,160
54,Ne,1,427.9279,0.002,427.9279,0.002,150
55,Hf,1,428.798,0.0015,428.79553,9e-05,150
56,Lu,1,427.75,0.01,,,150
57,Hf,1,428.189,0.0011,428.18784,0.00015,150
58,Hf,1,428.059,0.0015,428.05759,0.00013,150
59,Th,1,428.59394,3e-05,428.593879,9e-06,140
60,Ti,1,427.822,0.0002,427.82204,0.00018,140
61,Fe,1,427.987,0.0003,427.98685,4e-05,115
62,Hf,1,428.334,0.0019,428.3318,0.0004,110
63,Os,1,428.59,0.01,,,100
64,Ne,1,428.3242,0.002,428.3241,0.002,100
65,Kr,1,428.296734,1e-05,428.29673+,3e-05,100
66,Th,1,427.96379,3e-05,427.963809,1.5e-05,81
67,Th,1,428.2979,3e-05,428.297854,1.5e-05,80
68,Hf,1,428.365,0.0011,428.3661,0.0003,74
