,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens
69,Yb,1,427.774,0.01,,,70
70,Mn,1,428.408,0.01,428.4085,0.001,65
71,Pt,1,428.17393,0.00018,428.17374,6e-05,64
72,Th,1,427.79993,4e-05,427.799949,1.5e-05,61
73,Rh,1,427.86,0.01,427.8588,0.001,60
74,Ti,1,427.8788,0.0002,427.87867,5e-05,57
75,Th,1,427.92816,4e-05,427.928163,1.3e-05,54
76,Ti,1,428.262,0.0002,428.26176,0.00011,53
77,Ne,1,427.885,0.002,427.8839,0.0016,50
78,Na,1,428.67,0.02,428.655,0.013,46
79,Th,1,428.093,4e-05,428.092979,8e-06,43
80,Th,1,428.53997,5e-05,428.539988,8e-06,41
81,Kr,1,428.648687,1e-05,428.64868+,3e-05,40
82,Th,1,428.0322,5e-05,428.032155,1.1e-05,38
83,W,1,428.6008,0.001,428.6014,0.0015,30
84,W,1,428.2345,0.001,428.2347,0.0015,30
85,Th,1,428.08796,5e-05,428.087989,1.1e-05,27
86,Ti,1,428.0053,0.0002,428.00505,5e-05,27
87,W,1,428.4964,0.001,428.4967,0.0015,25
88,W,1,428.4964,0.001,428.4939,0.0015,25
89,Ca,1,428.301,0.01,428.3011,0.001,24
90,Ir,1,428.662,0.01,428.661+,0.003,23
91,Th,1,427.89031,5e-05,427.890325,1.8e-05,23
92,W,1,428.38,0.001,428.3801,0.0015,20
93,Th,1,428.37977,6e-05,428.379796,1.5e-05,20
94,Th,1,427.94958,5e-05,427.949580,1.7e-05,18
95,Ti,1,428.4701,0.0002,428.46987,6e-05,17
96,Cr,1,428.482,,428.47839,3e-05,13
97,W,1,427.8405,0.001,427.8409,0.0015,12
98,Th,1,428.57571,0.00018,428.575752,8e-06,12
99,Ti,1,428.1716,0.0005,428.17082,6e-05,11
